source_file,row_type,year,branch,period,period_type,month_number,sales_amount
REP_S_00134_SMRY.csv,branch,2025,Stories amioun,total_by_year,year_total,,9766064.29
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,january,month,1,2615854.33
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,february,month,2,2139010.67
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,march,month,3,3162716.67
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,april,month,4,3391741.33
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,may,month,5,2033635.67
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,june,month,6,728978.33
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,july,month,7,2963696.71
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,august,month,8,3182363.97
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,september,month,9,2909965.47
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,october,month,10,2715152.86
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,november,month,11,2551353.16
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,december,month,12,2234759.77
REP_S_00134_SMRY.csv,branch,2025,Stories Antelias,total_by_year,year_total,,30629228.94
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,january,month,1,4266517.33
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,february,month,2,3388117.33
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,march,month,3,4890198.33
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,april,month,4,5516881.67
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,may,month,5,2963980.33
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,june,month,6,1311240.0
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,july,month,7,6135003.02
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,august,month,8,6751770.29
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,september,month,9,5041150.76
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,october,month,10,4372225.54
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,november,month,11,4272667.88
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,december,month,12,5163712.03
REP_S_00134_SMRY.csv,branch,2025,Stories Batroun,total_by_year,year_total,,54073464.51
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,january,month,1,4497376.67
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,february,month,2,3419106.67
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,march,month,3,5083386.67
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,april,month,4,5196906.67
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,may,month,5,3043400.0
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,june,month,6,1208190.0
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,july,month,7,5448609.92
REP_S_00134_SMRY.csv,branch,2025,Stories Bayada,august,month,8,5613038.75
